timestamp,prompt_tokens,completion_tokens,total_tokens,schema_source
2025-09-25T08:10:55.435Z,1623,72,1695,file
2025-09-25T08:12:12.331Z,1629,92,1721,file
2025-09-25T08:13:03.290Z,1619,29,1648,file
2025-09-25T08:25:14.790Z,1620,11,1631,file
2025-09-25T08:26:47.047Z,1615,45,1660,file
2025-09-25T08:43:49.511Z,1636,48,1684,file
2025-09-25T08:50:54.205Z,1325,247,1572,file
2025-09-25T08:51:55.336Z,1316,14,1330,file
2025-09-25T08:53:23.715Z,1325,410,1735,file
2025-09-25T09:27:23.626Z,1325,344,1669,file
2025-09-25T09:29:42.583Z,1330,345,1675,file
TOTAL,,,18020,
